horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2021106213,ウインイメル,サンダースノーThunder Snow(愛),000a013a06,Helmet,Exceed And Excel
2021106215,ウインセレーネ,ハクサンムーン,2009102527,アドマイヤムーン,エンドスウィープEnd Sweep(米)
2021106216,ウインラグラス,ストロングリターン,2006102934,シンボリクリスエス,Kris S.
2021106217,ウインサマースノー,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106218,ウィズホープ,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106219,ウインプロティア,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106220,ナイトプラネット,ダノンシャンティ,2007105709,フジキセキ,サンデーサイレンスSunday Silence(米)
2021106221,ウインブリエ,マインドユアビスケッツMind Your Biscuits(米),000a01392e,Posse,Silver Deputy
2021106222,ウインパルファン,オルフェーヴル,2008102636,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106223,ウインクリード,サンダースノーThunder Snow(愛),000a013a06,Helmet,Exceed And Excel
2021106224,ウインアリス,サンダースノーThunder Snow(愛),000a013a06,Helmet,Exceed And Excel
2021106235,シカンスイヨウ,アニマルキングダムAnimal Kingdom(米),000a011dad,Leroidesanimaux,Candy Stripes
2021106237,サーナーティオン,サンダースノーThunder Snow(愛),000a013a06,Helmet,Exceed And Excel
2021106245,マイネルウォーリア,ベストウォーリア,2010110127,マジェスティックウォリアーMajestic Warrior(米),A.P. Indy
2021106246,ダイシンサンディー,コパノリッキー,2010106548,ゴールドアリュール,サンデーサイレンスSunday Silence(米)
2021106247,メイショウガイフウ,キズナ,2010105827,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106248,エピックナイト,ドレフォンDrefong(米),000a013b82,Gio Ponti(米),Tale of the Cat(米)
2021106252,コウソクテツドウ,アジアエクスプレス,2011110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106253,セキセイ,キズナ,2010105827,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106255,アイリュール,コパノリッキー,2010106548,ゴールドアリュール,サンデーサイレンスSunday Silence(米)
2021106256,ギガストーム,ヘニーヒューズHenny Hughes(米),000a011155,ヘネシーHennessy(米),Storm Cat(米)
2021106257,テアトロ,ロゴタイプ,2010103783,ローエングリン,Singspiel(愛)
2021106258,ソーラーシステム,ディープブリランテ,2009105084,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106264,デュアルロンド,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
2021106267,サンライトムゲン,フェノーメノ,2009106599,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106269,スカイミラージュ,ミュゼスルタン,2012104118,キングカメハメハ,Kingmambo(米)
2021106286,セイカアビイロード,グレーターロンドン,2012101402,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106288,ミオン,マジェスティックウォリアーMajestic Warrior(米),000a011e9c,A.P. Indy,Seattle Slew
2021106291,ノリサムソン,メイショウサムソン,2003102205,オペラハウスOpera House(英),Sadler's Wells(米)
2021106294,ゼンダンスカイ,レッドファルクス,2011104416,スウェプトオーヴァーボードSwept Overboard(米),エンドスウィープEnd Sweep(米)
2021106295,オースサイン,シルバーステート,2013105903,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106296,アルピニスト,ヘニーヒューズHenny Hughes(米),000a011155,ヘネシーHennessy(米),Storm Cat(米)
2021106298,モリノレッドスター,デクラレーションオブウォー,000a0136f6,War Front,Danzig
2021106304,ピンネシリ,ゴールドアクター,2011105266,スクリーンヒーロー,グラスワンダー
2021106305,ランウインディ,エスポワールシチー,2005102837,ゴールドアリュール,サンデーサイレンスSunday Silence(米)
2021106307,モリノセピア,エスポワールシチー,2005102837,ゴールドアリュール,サンデーサイレンスSunday Silence(米)
2021106308,カイトグート,キズナ,2010105827,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106310,カセノラオー,ヘニーヒューズHenny Hughes(米),000a011155,ヘネシーHennessy(米),Storm Cat(米)
2021106311,アムールベル,カリフォルニアクロームCalifornia Chrome(米),000a012602,Lucky Pulpit,Pulpit
2021106315,サンスイシサン,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
